Driver_ID,Total_Trips,Total_Minutes,Total_Hard_Brakes,Total_Harsh_Accel,Total_Harsh_Corner,Total_High_Speed_Mins,Hard_Braking_Rate,Harsh_Accel_Rate,Harsh_Corner_Rate,High_Speed_Ratio,Braking_Subscore,Accel_Subscore,Corner_Subscore,Speed_Subscore,Driver_Risk_Score,Risk_Classification,Driver_Name,Age,License_Experience_Years
D01,15,427,14,11,28,27,3.278688524590164,2.576112412177986,6.557377049180328,0.06323185011709602,27.42706988998831,22.06668177139842,82.96135727801074,34.915718889284896,38.42,Moderate,Meena Iyer,36,7
D02,15,402,20,15,36,17,4.975124378109453,3.731343283582089,8.955223880597014,0.04228855721393035,41.61819062908674,31.962256161421728,100.0,23.351133537619226,46.74,Risky,Senthil Nair,36,2
D03,15,482,43,44,33,52,8.921161825726141,9.12863070539419,6.846473029045644,0.1078838174273859,74.62780531269641,78.19479764636618,86.61888599618031,59.57189351603518,75.08,Risky,Vignesh Murugan,35,1
D04,15,475,14,12,28,29,2.9473684210526314,2.526315789473684,5.894736842105263,0.061052631578947365,24.655492301105276,21.640129645291005,74.57789380570648,33.712385731463144,35.55,Moderate,Ganesh Kannan,30,1
D05,15,482,7,10,15,3,1.4522821576763485,2.0746887966804977,3.112033195020747,0.006224066390041493,12.14871249276453,17.771544919628678,39.37222090735468,3.436840010540491,17.54,Safe,Manoj Kumar,41,4
D06,15,470,48,56,31,83,10.212765957446807,11.914893617021278,6.595744680851063,0.17659574468085107,85.43240493392102,100.0,83.44676947485016,97.5136322423283,91.82,Risky,Bhavani Raj,34,14
D07,15,462,19,14,20,35,4.112554112554113,3.0303030303030303,4.329004329004329,0.07575757575757576,34.402569266771046,25.95722621594249,54.768861406478955,41.83224457274032,37.43,Moderate,Kavya Pillai,31,12
D08,15,466,14,16,19,22,3.004291845493562,3.4334763948497855,4.07725321888412,0.04721030042918455,25.131671336963535,29.41076275111081,51.58380530322664,26.068849407561785,31.89,Safe,Arun Raj,23,10
D09,15,396,8,13,5,3,2.0202020202020203,3.2828282828282833,1.2626262626262625,0.007575757575757576,16.899507709992797,28.12032840060437,15.97425124355636,4.183224457274033,17.54,Safe,Rajesh Raj,42,8
D10,15,470,14,13,20,19,2.9787234042553195,2.7659574468085104,4.25531914893617,0.04042553191489362,24.917784772393638,23.692872439658146,53.83662546764526,22.322397742219728,29.82,Safe,Mohan Pillai,31,4
D11,15,357,8,8,5,1,2.2408963585434174,2.2408963585434174,1.400560224089636,0.0028011204481792717,18.745672417807135,19.19525972271378,17.71933751386084,1.5467384547903984,15.24,Safe,Mohan Iyer,35,6
